GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.004628631,0.005119218,0.005227253,0.00506887,0.006102036,0.003376668,0.001299718,0.001414186,0.002694813,0.00416822,0.004184475,0.003523124,0.004350779,0.00289444,0.006504908,0.005612261,0.006482642,0.004023924,0.002134075,9.31E-04,0.001559539,0.00300424,0.003485575,0.003694467,0.00524682,0.005402706,0.00594064,0.005145655,0.005019081,0.003082878,0.002013989,6.22E-04,0.001359803
2,8.62E-04,8.80E-04,0.001179975,0.00205506,0.003292318,0.003485784,0.005130218,0.006918786,0.004036931,0.002736203,0.001074353,5.53E-04,1.66E-04,6.06E-04,0.001683336,0.002066837,0.00361631,0.003122801,0.005032855,0.005053954,0.004269555,0.001839334,4.66E-04,4.16E-04,2.69E-04,0.001411071,0.002101877,0.002680157,0.003076707,0.002944752,0.003645967,0.00432907,0.002805332
3,3.49E-05,2.65E-05,1.15E-05,3.76E-07,8.02E-05,2.11E-04,5.71E-04,7.80E-04,1.86E-04,5.58E-05,2.39E-05,6.56E-06,2.44E-06,1.83E-05,1.34E-06,1.02E-05,5.83E-05,1.64E-04,5.30E-04,3.76E-04,1.62E-04,3.63E-07,0,9.69E-09,5.13E-06,1.00E-05,4.45E-05,2.37E-05,3.24E-05,9.10E-05,1.07E-04,5.75E-04,5.74E-05
4,1.63E-04,1.14E-04,2.45E-04,8.89E-05,3.94E-05,7.29E-06,1.61E-05,4.15E-05,7.51E-05,1.76E-05,4.65E-04,3.23E-04,9.80E-06,3.96E-04,1.20E-05,3.55E-05,1.45E-05,5.37E-05,1.88E-05,2.64E-05,3.35E-05,2.06E-05,3.85E-05,2.62E-06,1.33E-04,1.31E-04,1.68E-04,1.97E-04,8.72E-05,1.71E-05,1.55E-05,2.40E-05,2.94E-05
5,0.002657013,9.76E-04,0.001858271,0.001874844,0.001903347,4.66E-04,2.29E-04,4.79E-04,3.36E-04,0.001535333,0.003021721,0.002732853,0.001236666,0.001797834,0.001178738,0.002759252,8.47E-04,7.73E-04,3.31E-04,3.17E-04,9.49E-04,0.001243197,3.33E-04,0.002081889,0.001782478,0.002027752,0.001493566,0.001096405,9.65E-04,2.25E-04,1.81E-04,5.41E-04,0.001057902
6,0.003321784,0.002966894,0.003519316,0.001131485,0.001797278,0.003108384,0.002544169,0.002258593,0.00272556,0.004162905,0.003211792,0.00296749,0.002117234,0.002367007,0.004082748,0.001753227,0.003738166,0.001787863,0.001627844,9.42E-04,0.004373015,0.004637884,0.001901279,0.005078458,0.003191541,0.002931142,0.002887253,9.03E-04,0.001841023,0.003121995,0.001771927,0.002200612,0.002800872
7,0.002700155,0.002502065,0.002561039,0.001454631,6.53E-04,0.00209177,0.002013168,0.002764544,0.003853706,0.004368746,0.003413882,0.00430231,0.00377883,0.002661895,0.003510888,0.001478178,0.001989718,0.002147301,0.001925125,0.001801466,0.003567573,0.005250238,0.004556347,0.002555782,0.002819211,0.002255088,0.003145755,0.001729005,0.001945354,0.00108384,0.001484159,0.003244659,0.00406381
8,0.002620534,0.00223037,0.001874073,0.002433721,0.001342422,0.001028851,0.001271478,0.002064714,0.002412925,0.002827696,0.003151967,0.00362284,0.003781595,0.003505314,0.002455227,0.002180488,0.001283757,9.65E-04,0.001163792,0.001404756,0.003114905,0.003355957,0.00315875,0.003185401,0.002409719,0.002600052,0.002156745,0.002291353,0.001319777,7.96E-04,0.001636297,0.001640681,0.00271386
9,2.44E-04,5.17E-04,5.19E-04,3.61E-04,2.09E-04,2.19E-04,2.03E-04,2.66E-04,2.66E-04,2.94E-04,3.13E-04,2.16E-04,3.50E-04,4.49E-04,5.19E-04,4.82E-04,2.40E-04,2.36E-04,3.03E-04,2.65E-04,2.03E-04,2.26E-04,3.23E-04,3.74E-04,5.64E-04,0.001196186,0.001618412,8.67E-04,2.83E-04,3.76E-04,2.94E-04,3.65E-04,2.44E-04
10,3.73E-04,4.76E-04,4.60E-04,2.98E-04,4.55E-04,4.82E-04,2.98E-04,3.34E-04,2.99E-04,3.16E-04,3.71E-04,3.36E-04,4.36E-04,4.82E-04,4.71E-04,4.70E-04,3.46E-04,4.53E-04,4.47E-04,4.25E-04,2.27E-04,1.98E-04,3.18E-04,3.27E-04,4.19E-04,5.15E-04,5.71E-04,5.54E-04,3.29E-04,4.82E-04,3.86E-04,3.98E-04,2.68E-04
